Left_HandMatrixXB      , -0.4956451   ,    0.8403807 ,   0.8403807
Left_HandMatrixYB      , -0.3978458   ,   -0.4441405 ,   0.8027814
Left_HandMatrixZB      , 0.7720457    ,    0.3106437 ,    0.554478
Left_HandMatrixO       , 119.2318     ,      39.5323 ,   -97.64888
Left_Hand_D            , -0.2193085   ,   -0.8027814 ,   -0.554478
Left_Hand_N            , -0.2193085   ,   -0.8027814 ,  -0.8027814
Others_Hand_Features   , -0.9663419   ,   -0.2666788 ,  -0.3766404
Left_Hand_M            , 0            ,            0 ,           1
Left_HandPalm_P        , 47.2897      ,     143.3844 ,   -50.18868
Left_HandPalm_N        , 0.2972237    ,    0.9011953 ,  -0.3154443
Others_Palm_Features   , 1.234096     ,     2.823016 ,   0.7556672
Left_HandPalm_M        , 0            ,            0 ,    159.1047
Left_HandWrist_P       , 64.63413     ,     183.4444 ,   -27.30575
Left_HandWrist_N       , 0.3290855    ,    0.9340097 ,  -0.1390276
Others_Wrist_Features  , 1.423031     ,     2.802838 ,    1.171074
Left_HandWrist_M       , 0            ,            0 ,    196.4053
Left_HandArm_D         , -0.4914212   ,   -0.7864588 ,  -0.3741494
Left_HandArm_N         , -0.4914212   ,   -0.7864588 ,  -0.3741494
Others_Arm_Features    , -1.126745    ,   -0.5584936 ,  -0.9200631
Left_HandArm_M         , 0            ,            0 ,           1
Left_HandElbow_        , 184.1755     ,     374.7556 ,    63.70848
Left_HandElbow_N       , 0.4360222    ,     0.887207 ,   0.1508253
Others_Elbow_Features  , 1.739187     ,     2.684804 ,    1.903825
Left_HandElbow_M       , 0            ,            0 ,    422.3993
TYPE_THUMB             , -0.3850474   ,   -0.3518108 ,  -0.8532102
TYPE_THUMBTipP         , 6.912547     ,     142.4966 ,    142.4966
TYPE_THUMBTipV         , 1.987332     ,   -0.9491358 ,    16.01958
TYPE_THUMBTipS         , 4.776199     ,     148.5608 ,   -83.85482
TYPE_THUMBD_N          , -0.3850474   ,   -0.3518108 ,  -0.8532102
Others_Finger_Featuers , -0.3910969   ,   -0.8304734 ,  -0.4239283
TYPE_INDEX             , -0.8418278   ,     0.451953 ,  -0.2950669
TYPE_INDEXTipP         , -29.60147    ,     138.3554 ,    138.3554
TYPE_INDEXTipV         , 0.4770995    ,    -6.869713 ,   -10.10302
TYPE_INDEXTipS         , -33.6133     ,     135.9625 ,   -68.27979
TYPE_INDEXD_N          , -0.8418279   ,    0.4519531 ,  -0.2950669
Others_Finger_Featuers , 0.9924057    ,    -2.063504 ,    -1.23367
TYPE_MIDDLE            , -0.6228644   ,    -0.352514 ,   -0.698408
TYPE_MIDDLETipP        , -4.145993    ,     90.72271 ,    90.72271
TYPE_MIDDLETipV        , 16.22475     ,     22.75331 ,   0.9923704
TYPE_MIDDLETipS        , -17.33891    ,     87.48697 ,    -125.702
TYPE_MIDDLED_N         , -0.6228644   ,    -0.352514 ,   -0.698408
Others_Finger_Featuers , -0.4674318   ,    -1.055785 ,  -0.7282855
TYPE_RING              , -0.8238568   ,    0.5616698 ,  0.07607169
TYPE_RINGTipP          , -2.373817    ,     152.5848 ,    152.5848
TYPE_RINGTipV          , -3.165655    ,    0.3127964 ,   -28.37587
TYPE_RINGTipS          , 0.09624823   ,     158.7991 ,   -71.86636
TYPE_RINGD_N           , -0.8238568   ,    0.5616698 ,  0.07607169
Others_Finger_Featuers , 1.705416     ,    -2.169173 ,   -1.662871
TYPE_PINKY             , -0.9013472   ,    0.4154341 ,   0.1224249
TYPE_PINKYTipP         , 15.79923     ,     155.3198 ,    155.3198
TYPE_PINKYTipV         , 5.900277     ,     10.18702 ,   -15.06336
TYPE_PINKYTipS         , 13.8352      ,     162.7256 ,   -78.22597
TYPE_PINKYD_N          , -0.9013472   ,    0.4154341 ,   0.1224249
Others_Finger_Featuers , 1.857376     ,    -2.002681 ,   -1.705795

